,ChapterNum,ChapterName,Question,Answer
29,1,Super Senses,"Try This
1. For this activity find<ta quiet place in your school. Tell one of your friends to \ stand at a short distance and ask him to say something softly. The rest of you should listen carefully. Then all of you put your hands behind your ears, as shown in the picture. Let the same child say something again as softly as before. In which case was the sound sharper? Ask your friends too.
"," When I put my hands behind my ears, the sound was sharper."
30,1,Super Senses,"2.Put your hands over your ears and say something. Can you hear your own voice?
"," Yes, I can hear my own voice."
31,1,Super Senses,"3. Sit near a desk. Tap the desk once with your hand. Listen carefully. Now put your ear on the desk as shown in the picture. Tap on the ap?
"," Yes, when I put my ear on the desk I could hear sharper sound.
"
32,1,Super Senses,"Write
1.Can you understand the sounds of some animals? Which animals?
"," Yes, I can understand the sound of some animals. I can easily tell the sound of dog, cat, cow, horse, etc."
33,1,Super Senses,"2.Do some animals understand your language? Which ones?
"," Yes, some pet animals like dog, cow, ox, parrot, etc. understand our language."
34,1,Super Senses,"Say It With Sounds
1.Just like birds and dolphins you can also make your own language of sounds for giving messages. Remember you have to talk to your friends with only sounds and no words. How and when will you need to give an alarm call? For example, when the teacher is coming to the classroom!
"," You and your friends can produce some sounds like, YAHOO or HOHO, to sound an alarm. This can be used to alert others when the teacher is coming to the classroom"
35,1,Super Senses,"Sleeping-waking
1.Have you noticed that during the cold season you cannot see any lizard in the house? Where do you think they have gone?
"," Yes, I have noticed that lizards cannot be seen during the cold season. I think they must be hiding somewhere to escape from the cold."
36,1,Super Senses,"2. How will you show the clock for a house-lizard in winters?
"," The grey colour shows sleeping time for lizard in winters.
"
37,1,Super Senses,"3.Given here is the sleeping time of some animals. Below each picture write for how many hours a day that animal sleeps.

"," Cow: 4 hours
Python: 18 hours Giraffe: 2 hours Cat: 12 hours"
38,1,Super Senses,"4.When you see different animals, do you have any questions about them? Make a list of ten such questions.
"," Yes, when I see different animals, many questions come to my mind. Some of them are as follows;
1. Can they talk with each other?
2. Can they understand our language?
3. Can they see colours?
4. How do they see during night?
5. How do they sense danger?
6. How do they know if something is food for them?
7. How do they feel when a member of their family gets injured?
8. Why only some of them can be made pet animals?
9. How do they save themselves during bad weather?
10. How do they make friends?"
39,1,Super Senses,"5.The tiger is one of the most alert animals. And yet, today tigers are in danger. What do you think are some of the dangers to tigers in the jungle?
", Hunters and poachers are the biggest threats for tiger. They kill tigers for skin. Lion is more powerful than tiger and can be a danger for tiger. Large scale destruction of forests is another major danger for tiger.
40,1,Super Senses,"6.Can human beings also be a threat to animals? How?
"," Yes, human beings can also be a threat to animals. Human beings kill animals for hide and other body parts. For example; elephants are killed for their tusks, rhinos are killed for their horns. Snakes and crocodiles are also killed for their skin. Increase in human population has led to destruction of forests. This has reduced the natural habitat of animals."
41,1,Super Senses,"Find Out
1. Where are other such National Parks in India?
"," Some of the National Parks in India are as follows:
(a) Kanha National Park (Madhya Pradesh)
(b) Kaziranga National Park (Assam)
(c) Gir National Park (Gujarat)
(d) Ranthambhore National Park (Rajasthan)
(e) Nagarhole National Park (Mysore) ,
(f) Palamu National Park (Jharkhand)."
42,1,Super Senses,"2.Collect information on these and write a report.
"," National Parks have been made to protect anhnals and plants. Protecting animals and plants is necessary to protect our environment. Some animals get Special status in these parks. For example; Kaziranga National Park gives special protection to Rhinos which are very rare species in the world. Similarly, Gir National Park gives special protection to Lions."
43,1,Super Senses,"What We Have Learnt .
1.Have you noticed that sometimes singers put their hand on their ear when they sing? Why do you think they may be doing this?
"," Yes, I have noticed singers putting their hand on their ear while singing. They do this to minimize noise. They also do this to hear their own voice more clearly."
44,1,Super Senses,"2.Give examples of animals that may have a very strong sense of sight, hearing or smell.
"," Some examples are as follows:
(a) A police dog can smell explosives; which cannot be detected by human beings.
(b) An eagle can see its small prey from high in the sky.
(c) A dog can hear the faintest sound of someone’s footsteps.
(d) A mosquito can find a human being by smelling his body odour.
(e) Some animals behave in strange manner in case of a natural calamity which is about to happen."
45,2,A Snake Charmer’s Story,"Think and Tell
1.Have you ever seen anyone playing a been? Where?
","Yes, I have seen snake-charmers playing a been. I have seen them in a fair."
46,2,A Snake Charmer’s Story,"2.Have you ever seen a snake? Where?
"," Yes, I have seen a snake. I have seen it with the snake-charmer and also in a paddy field."
47,2,A Snake Charmer’s Story,"3.Were you scared by it? Why?
"," Yes, I was scared by it. I have heard that snakes are poisonous."
48,2,A Snake Charmer’s Story,"4.Do you think all snakes are poisonous?
","No, I do not think so."
49,2,A Snake Charmer’s Story,"5.In chapter 1, you read that snakes do not have ears which you can see. Can the snake hear the been or does it dance when the been moves? What do you think?
", Snakes cannot hear the been. They dance when the been moves.
50,2,A Snake Charmer’s Story,"2.How did people behave with the animals in the show?
",The behaviour of most of the people was good towards the animals.
51,2,A Snake Charmer’s Story,"3.Was anyone teasing the animals? How?
",Nobody was teasing the animals. But once in a zoo I have seen some people throwing water bottles at a bear.
52,2,A Snake Charmer’s Story,"4.What kind of questions came to your mind after seeing that animal show?
 "," Many questions came to my mind after seeing that animal show. Some of them are as follows:
(i)Is it fair to exploit animals for our entertainment?
(ii)How those animals are caught?
(iii)How those animals are trained?
(iv)Do circus people handle those animals with proper care?
(v)It would have been better if all those animals Eire set free.
Imagine that you are an animal in a cage. Think how you would feel. Complete the following sentences:
I am afraid when my trainer beats me in case of a mistake.
I wish I could enjoy my freedom.
I sun sad When I remember my friends in the jungle.
If I had a chance I would run to the forest.
I do not like it at all when people tease me."
53,2,A Snake Charmer’s Story,"Write
1.Like snake-charmers, which other people depend on animals for their livelihood?
"," Apart from snake-charmers, Which other people depend on animals for their livelihood. For example; milkman, poultry farmer, tonga wala, farmer, washerman, etc."
54,2,A Snake Charmer’s Story,"Survey—People Who Keep Animals
1.Talk to some people in your neighbourhood who keep one or more animals for their livelihood—for example, a horse for a tonga, hens for eggs, etc.
•Name the animal they keep.
•How many animals are there?
.Is there a separate place for the animals?
•Who looks after them?
•What do the animals eat?
•Do the animals ever fall ill? What does the keeper do then?
•Make some more questions and discuss.
•Make a report on your project and read it out in the class.
","Let us assume Ramlal; the milkman.
He has 5 buffaloes and 7 cows. He has made a shed for these animals. Ramlal and his wife look after the animals. These animals eat grass and other animal fodder. Sometimes, the animals do fall ill. Ramlal takes them to the nearby veterinary hospital. These cows and buffaloes are a source of income for Ramlal. He earns money by selling milk. On a day after Diwali, Ramlal decorates and worships his animals."
55,2,A Snake Charmer’s Story,"What We Have Learnt
1.The government has made a law that no one can catch and keep snakes. What do you think about this law? Give reasons for your answer and write in your own words.
","Animals are often kept in captivity. They are used for entertaining people. For example; snake-charmers use snake and madaris use monkeys to entertain people. Since, they earn livelihood from these animals, so they take good care of these animals. But no animal would like to live as a slave. Everyone likes to enjoy freedom.I think, the government law preventing catching and keeping snakes is a’good law."
56,3,From Tasting To Digesting,"Solved Discuss And Write
1. Jhoolan’s mouth started watering when she heard the word imli. When does your mouth water? List five things you like to eat and describe their taste.
"," When I see one of my favourite food, my mouth waters. Following are the things which I like to eat. 
"
57,3,From Tasting To Digesting,"2.Do you like only one kind of taste or different ones? Why?
", I like different kinds of taste. Only one taste can be boring.
58,3,From Tasting To Digesting,"3.Jhoolan put a few drops of lemon juice in Jhumpa’s mouth. Do you think we can make out the taste with just a few drops?
"," Yes, a few drops of sour things are enough to make out the taste."
59,3,From Tasting To Digesting,"4.If someone were to put a few seeds of saunf (aniseed) on your tongue, would you be able to tell with your eyes closed? How?
"," Yes, we can recognise something by taste and smell also."
60,3,From Tasting To Digesting,"5.How did Jhumpa make out the fried fish? Can you guess the names of certain things only by their smell, without seeing or tasting them? What are these things?
"," Jhumpa made out the fried fish by its smell. Yes, I can guess many things only by their smell. For example; I can guess fish, omlette, samosa, pakodi, etc. by their smell."
61,3,From Tasting To Digesting,"6.Has anyone ever told you to hold your nose before taking a medicine? Why do you think they tell you to do this?
"," Sense of smell helps in getting the complete taste of a food. In case of medicine, closing the nose, will somewhat mask the taste of medicine. This may be the reason why we are told to close our nose while taking a medicine."
62,3,From Tasting To Digesting,"Close Your Eyes and Tell
1.Collect a few food items having different kinds of taste. Play a game with your friends like Jhumpa and Jhoolan did. Tell your friend to taste the food and ask— >- How did it taste? What was the food item?
", The taste was sweet. The food item was sugar.
63,3,From Tasting To Digesting,"2.On which part of the tongue could you get the most taste—in front, at the back, on the left or right side of the tongue?
", In front side. (Assuming sugar was given)
64,3,From Tasting To Digesting,"3.Which taste could be made out on which part of the tongue? Mark these parts on the picture given.
","
"
65,3,From Tasting To Digesting,"4.One at a time put some things to eat in other parts of your mouth—under the tongue, on the lips, on the roof of the mouth. Did you get any taste there?
"," No, I could not get a taste there."
66,3,From Tasting To Digesting,"5.Use a clean cloth to wipe the front part of your tongue so that it is dry. Put some sugar or jaggery there. Could you taste anything? Why did this happen?
","No, I could not taste a thing. It is because there was no saliva on the tongue. When the food mixes with saliva, then only we get its taste."
67,3,From Tasting To Digesting,"6.Stand in front of a mirror and look closely at your tongue. How does the surface look? Can you see any tiny bumps on the surface?
"," The surface of the tongue looks rough. Yes, I can see many tiny bumps on the surface of my tongue."
68,3,From Tasting To Digesting,"Tell
1.If someone asks you to describe the taste of amla or cucumber, you might find it difficult to explain. How would you describe the taste of these—tomato, onion, saunf, garlic. Think of words that you know or make up your own words to describe the taste.
","
"
69,3,From Tasting To Digesting,"2.When Jhumpa tasted some of the things, she said “Ssssee, ssseee, ssseee….” What do you think she may have eaten?
", She may have eaten a chilli.
70,3,From Tasting To Digesting,"3. Why don’t you make sounds that describe some tastes? From your expressions and sounds ask your friends to guess what you might have eaten.
","
"
71,3,From Tasting To Digesting,"Chew It or Chew It Well:
1. What’s the Difference? 
","Try this together in class:
• Each of you take a piece of bread or roti or some cooked rice.
• Put it in your mouth, chew three to four times and swallow it."
72,3,From Tasting To Digesting,"2.Did the taste change as you chewed it?
", Not much. It is almost the same.
73,3,From Tasting To Digesting,"3.Now take another piece or some rice and chew it twenty to twenty-five times. >- Was there any change in the taste after chewing so many times?
"," Yes, there is a change in taste. The food began to taste sweet."
74,3,From Tasting To Digesting,"Discuss
1.Has anyone at home told you to eat slowly and to chew well so that the food digests properly? Why do you think they say this?
"," Yes, my mother always tells me to eat slowly and to chew well. I think proper chewing is necessary for easier swallowing. It also helps to digest the food."
75,3,From Tasting To Digesting,"2.Imagine you are eating something hard like a green guava. What kinds of changes take place in it—from the time you bite a piece and put it in your mouth to when you swallow it? Think what does the saliva in our mouth do?
"," When I bite off a piece of guava, it is hard and may taste somewhat bitter. After chewing for some time, it becomes soft and tastes sweet. The saliva makes the food soft and helps in its digestion."
76,3,From Tasting To Digesting,"Straight from the Heart
1.Where do you think the food must be going after you put it in your mouth and swallow it? In the picture given here, draw the path of the food through your body. Share your picture with your friends. Do all of you have similar pictures?
"," I think the food from mouth goes to the stomach.
Yes, all of us have similar pictures.
"
77,3,From Tasting To Digesting,"Discuss
1.How do you feel when you are very hungry? How would you describe it? For example, sometimes we jokingly say, “I am so hungry I could eat an elephant!”
"," When I am hungry, I feel strange sensations in my stomach. I am unable to focus on anything."
78,3,From Tasting To Digesting,"2.How do you come to know that you are hungry?
", I get a strong urge to eat something. This is a signal to show that I am hungry.
79,3,From Tasting To Digesting,"3.Think what would happen if you do not eat anything for two days?
", If I do not eat a thing for two days; I think I will become weak and may fall sick.
80,3,From Tasting To Digesting,"4.Would you be able to manage without drinking water for two days? Where do you think the water that we drink goes?
"," No, I will not be able to manage without water for two days. I will not be able to manage even for a day. I think the water is used by our body for various functions. Excess water is removed in the form of urine and sweat."
81,3,From Tasting To Digesting,"Talk and Discuss
1.Do you remember that in Class IV you made a solution of sugar and salt? Nitu’s father also made this and gave her. Why do you think this is given to someone who has vomiting and loose motions?
"," In case of vomiting and loose motions, the amount of water, salt and sugar decreases in the body. This can be a dangerous situation. Sugar and salt solution is given to replenish this loss."
82,3,From Tasting To Digesting,"2.Have you heard the word ‘glucose’, or seen it written anywhere? Where?
"," Yes, I have heard the word glucose and have seen it written on the packets of glucose powder. I have also seen many advertisements of glucose on TV and in newspaper."
83,3,From Tasting To Digesting,"3.Have you ever tasted glucose? How does it taste? Tell your friends.
"," Yes, I have tasted glucose. It tastes sweet."
84,3,From Tasting To Digesting,"4.Have you or anyone in your family been given a glucose drop? When and why? Tell the class about it.
"," Once, my grandmother had to be admitted to hospital. She was sick. She was given the glucose drip in the hospital. Doctors said that it would help her to recover quickly."
85,3,From Tasting To Digesting,"5.Nitu’s teacher used to tell the girls to have glucose while playing hockey. Why do you think she did this?
"," Lot of sweating happens when you play outdoor games. This results in loss of water, sugar and salt from the body. This can sap your energy. Glucose solution quickly replenishes lost water and sugar. That is why Nitu’s teacher used to tell the girls to have glucose while they were playing hockey."
86,3,From Tasting To Digesting,"6.Look at Nitu’s picture and describe what is happening.How is the glucose drip being given?
"," The picture shows glucose drip being given to Nitu.
The glucose solution is in a bottle. A tube and needle is used for supplying glucose to the body.
"
87,3,From Tasting To Digesting,"Think and Discuss
1.Imagine, if you had been in place of Dr. Beaumont, what experiments would you have done to find out the secrets of our stomach? Write about your experiments.
"," If, I were in place of Dr. Beaumont, I would have done experiments with boiled rice, chapatti, and salad. It would have taken out digestive juices from Martin’s stomach and would have kept equal amounts of boiled rice, chapatti and salad in different glasses. I would have checked for the time it took to digest a particular food."
88,3,From Tasting To Digesting,"Discuss
1.Why do you think Rashmi could eat only one roti in the whole day?
", Rashmi is too poor to afford proper meal. That is why she could eat only one roti in the whole day.
89,3,From Tasting To Digesting,"2.Do you think Kailash would like games and sports?
"," No, I think Kailash would not like games and sports. His fat and flabby body shows that he hardly does physical activities."
90,3,From Tasting To Digesting,"3.What do you understand by ‘proper’ food?
", Adequate and nutritious food according to one’s body needs make the ‘proper’ food.
91,3,From Tasting To Digesting,"4.Why do you think that the food of Rashmi and Kailash was not proper?
"," Rashmi is not getting adequate amount of food. On the other hand, Kailash is taking too much food than what his body needs. Moreover, he is eating chips, burgers, pizzas and soft drinks; instead of eating home-made food. These are harmful food."
92,3,From Tasting To Digesting,"Find Out
1.Talk with your grandparents or elderly people and find out what they ate and what work they did when they were of your age. Now think about yourself— your daily activities and daily diet. Are these similar or different from what your grandparents did and ate?
"," My grandparents used to eat rice, dal, green vegetables, milk and lot of fresh fruits. They used to do lot of physical activities. They used to walk two miles to go to school. They used to play games which involved lot of physical activities. The modern times have changed. We do eat rice, dal and vegetables, but we also take many junk food. I go to school by school bus. Major part of my free time is spent sitting on sofa, watching TV or playing computer games. We do less amount of physical activities."
93,3,From Tasting To Digesting,"Think and Discuss
1.Do you know any child who does not get enough to eat in the whole day? What are the reasons for this?
"," Yes, I know of some children who do not get enough to eat in the whole day. They live in the nearby slum. They are too poor to afford a proper meal in a day."
94,3,From Tasting To Digesting,"2.Have you ever seen a godown where a lot of grain has been stored? Where?
"," Yes, I have seen lot of grain being stored in the nearby mandi."
95,3,From Tasting To Digesting,"What We Have Learnt
1.Why can you not taste food properly when you have a cold?
"," We know that the sense of smell helps in getting the complete taste of food. In case of common cold, our nose is blocked, which blocks the sense of smell. That is why we are unable to taste food properly in case of cold."
96,3,From Tasting To Digesting,"2.If we were to say that “digestion begins in the mouth”, how would you explain this? Write.
"," The salivary glands are present in the mouth. Saliva contains digestive enzymes. The enzyme from saliva helps in breaking complex sugars into simple sugars. Thus, it can be said that digestion begins in the mouth."
97,4, Mangoes Round The Year,"Discuss
1.How did Aman know that the potato sabzi had got spoilt?
", The bad smell from the potato sabzi gave the clue.
98,4, Mangoes Round The Year,"2.Have you ever seen some food that has got spoilt? How did you know that it was spoilt?
"," Yes, I have seen foods that have gone spoilt. The spoilt food smells bad and shows unusual colours."
99,4, Mangoes Round The Year,"3.Preeti told Nitu not to eat the potato sabzi. What would have happened if she had eaten it?
", She may have fallen ill if she had eaten it.
100,4, Mangoes Round The Year,"2.Look at your friend’s list and discuss in the class.
", My friend’s list also contains similar items. Most of the cooked foods get spoilt in 2-3 days. Most of the raw vegetables get spoilt in a week. Most of the dry grains can last a month and more than a month.
101,4, Mangoes Round The Year,"3.Will your list be the same in all seasons? What would change?
"," No, the list will change in different seasons. Food easily gets spoilt in summer
than in winter. In rainy season, the excess moisture in the air hastens the %
process of spoiling of food."
102,4, Mangoes Round The Year,"4.When food gets spoilt in your house, what do you do with it?
", We throw the spoilt food in the garbage bin.
103,4, Mangoes Round The Year,"Biji Returned the Bread
1.Look at the picture of the bread packet here and guess why Biji
 returned it? How did she find that the bread had got spoilt?
"," Biji may have found that the expiry date of the bread had lapsed.
She may have observed black-velvety spots on the bread.
"
104,4, Mangoes Round The Year,"1.What can we know from what is written on the packet?
"," The food packet can give following information:
Price, weight, date of manufacturing, date of expiry and ingredients."
105,4, Mangoes Round The Year,"2.When you buy anything from the market, what do you look for on the packet?
",I check for the dates of manufacturing and expiry. I also check for price and weight.
106,4, Mangoes Round The Year,"How Does Food Get Spoilt?:
1.The whole class can do this experiment together. Take a piece of bread or roti. Sprinkle a few drops of water on it, and put it in a box. Close the box. See the bread or roti everyday until you find some changes on it. .
 Make this table on a chart paper and put it up in the classroom. Fill up the chart every day after discussing the changes seen.
 ","
"
107,4, Mangoes Round The Year,"2.Find out the reason for these changes? From where did the fungus come on the bread?
"," These changes occurred because of rotting of bread. The spores of fungus are present in the air. When they get a moist surface and food, they begin to grow."
108,4, Mangoes Round The Year,"3.Different kinds of food items spoil due to different reasons. Some foods spoil soon, some stay good for long. List some seasons and conditions in which food spoils quickly.
"," The food spoils quickly in summer and rainy seasons.
Conditions in which the food spoils quickly:
– If cooked food is kept in open.
– If milk is not boiled properly.
– If green vegetables are kept in hot and humid places.
– If pickles are not protected against moisture."
109,4, Mangoes Round The Year,"4.Given below are some food items and some simple methods by which these could be kept fresh for 1-2 days. Match the correct pairs:

","
"
110,4, Mangoes Round The Year,"Write
1.Why was sugar and jaggery mixed into the mango pulp and dried in the sun?
", To make mamidi tandra (aam papad).
111,4, Mangoes Round The Year,"2.Why did Appa first choose the most ripe mangoes to be used for making the mamidi tandra?
"," Ripe mango contains more juice and less fibres. Hence, Appa first chose the most ripe mangoes to be used for making the mamidi tandra."
112,4, Mangoes Round The Year,"3.How did the brothers make the mamidi tandra? Write down step-by-step what they did for this.
"," The brothers bought following things from the market:
1. Mat made from palm leaves, casuarinas poles, string made of coconut husk, jaggery and sugar.
2. They made a platform from casuarinas poles and mat.
3. Mango juice was taken out and filtered through a fine cloth to remove fibres.
4. A thin layer of juice was spread on the mat and left to dry
5. In the evening the layer was covered with a sari to prevent dust from getting on it.
6. Every day, layer upon layer was added.
7. After about four weeks a thick golden cake of mamidi tandra could be made."
113,4, Mangoes Round The Year,"4.What things are made in your house from ripe and unripe mangoes?
"," In my house, pickles and chutneys are made from unripe mangoes. Aam papad is made from ripe mangoes. Mango shake is also made from ripe mangoes."
114,4, Mangoes Round The Year,"5.Make a list of all the different types of pickles that you know about.
"," Pickles are made of following items:
Mango, amla, chilli, lemon, Jacfruit, carrot, radish, potato, etc."
115,4, Mangoes Round The Year,"Find Out and Discuss
1.Is there any kind of pickle made in your house? What kind of pickle is it? Who makes it? From whom did they learn to make the pickle?
"," There are many kinds of pickle made in my house. They are made from mango, chilli, lemon and jackfruit. My mother makes these pickles. She learnt it from my grandmother."
116,4, Mangoes Round The Year,"2.What all things are needed to make any one type of pickle in your house? How is the pickle made? Find out the recipe and write.
"," Let us take example of mango pickle. Following things are needed to make salty mango pickle:
Raw mangoes, turmeric powder, red chilli powder, coriander powder, mustard seeds, aniseed, methi, kalaunji, salt, oil, etc.
Process: Raw mango is cut into small pieces and washed. It is sundried for a day to remove some moisture. All the spices are mixed with raw mangoes. Then the mixture is put in glass or porcelain jar. Oil is poured so that the pickle mixture gets submerged in oil. This is left in sunshine for about a week."
117,4, Mangoes Round The Year,"3.How are these things made in your house?
 (i) Papad (it) Chutney (iii) Badiyan
"," Papad is made from different kinds of lentils and also from potatoes. For example; urad papad is made by grinding the urad dal and mixing it with salt and other spices. A dough is then made. Thin papad is rolled out from the dough. This is left in the sun for drying.
Chutney is made from many things, but chutney of dhania and mirchi is very popular. Lots of coriander leaves and some green chilli are ground in a fine paste. Salt is added as per taste. This chutney is normally eaten fresh. It can also be preserved for some days by adding oil in it.
Badiyan are made from urad. Urad grains Eire soaked overnight in water and then ground into a coarse paste. Salt and spices are added as per taste. The small lumps are made on a cloth and left to dry in the sun."
118,4, Mangoes Round The Year,"4.It is a two-day journey by train from Pune to Kolkata. If you were to go on this trip, what food items would you carry with you? How would you pack them? Make a list on the blackboard of all the packed food. What food would you eat first?
"," I will carry those items which do not get spoiled easily. I will pack them in dry containers and packets.
I will carry biscuits, chips, dry fruits, dry sweets, sattu (gram powder), curd, chiwda (rice flakes), murmure (puffed rice), puri, dry sabji, etc.
I will first try to finish puri and sabji because they can get spoiled in a few days."
119,4, Mangoes Round The Year,"What We Have Learnt
1.Glass jars and bottles are dried well in the sun before filling them with pickles. Why is this done? Do you remember what happened to the bread in the experiment?
"," Glass jars and bottles are dried well in the sun to remove any moisture. In the experiment with bread, the bread got spoiled because of moisture and fungus grew on it."
120,4, Mangoes Round The Year,"2.To eat mangoes round the year we make different items like pickles, aam papad, chutney, chikky, etc. List some other food with which we make different things, so that we can enjoy it throughout the year.
"," Following are examples of food which can be enjoyed throughout the year:
(a) Pickles are made from many things.
(b) Many vegetables; like cauliflower; are sun dried for later use.
(c) Potato chips and banana chips are made so that they can last longer.
(d) Murabba is prepared from white gourd and amla.
(e) Peda is made from milk."
121,5,Seeds And Seeds,"1.What things are soaked before cooking in your house? Why? .
"," Following things are soaked before cooking:
Chana, moong, dry pea, rajma, soyabean, pulses, rice, etc.
These things become soft after soaking. This makes it easier to grind them and to cook them. This helps in saying time and energy. ."
122,5,Seeds And Seeds,"2.What things do you eat after sprouting? How are they sprouted? How much time does it take?
"," We eat chana, moong, etc. after sprouting. They Eire soakedin water overnight. Then the water is drained out and they are kept in a basket or suspended in a cloth so that they can get air.
Chana takes about 36-48 hours to sprout, while moong takes about 24-36 hours."
123,5,Seeds And Seeds,"3.Has the doctor or someone you know ever told you to eat sprouts? Why?
"," Yes, doctor has advised me to eat sprouts because they are very nutritious."
124,5,Seeds And Seeds,"Do This and Find Out
1.Do you remember that in Class IV you did an activity with seeds? Now try another one.
• Take some chana and three bowls.
• Put five chana in the first bowl and fill it up with water.
• Put a damp piece of cloth or some cotton wool in the second bowl. Now keep the same number of chanas in it. Make sure that the cotton wool or cloth remains wet.
• Put the same number of chanas in the third bowl. Do not put anything else in it. Cover edl the three bowls.
Observe Eifter two days and note the changes in the bowls.
","
"
125,5,Seeds And Seeds,"Tell and Write
1.In which bowl did the seeds sprout? What difference did you see between this bowl Eind the other bowls?
"," Seeds could sprout in bowl 2 only. In the bowl 2, the seeds got both air and water Eind hence could sprout. On the other hand, in bowl 1, only water was available and hence the seeds could not sprout. In the bowl 3, there was no water and no air and hence seeds could not sprout."
126,5,Seeds And Seeds,"2.Why did Gopal’s mother tie the chana in a damp cloth?
", Gopal’s mother tied the chana in damp cloth so that seeds could get both water and air.
127,5,Seeds And Seeds,"3.When you split the whole masoor, you get me—masoor dal. But then you cannot sprout me! Can you think why?
", This happens because the sprouting capacity of masoor is lost after it is split.
